#  L TT            EE            BB            TE            PP            PT            PE           
  97 1.1121266e+03 3.7689230e-01 7.7096860e-04 -5.6855113e+00 9.1793469e-08 5.5406345e-04 -7.8052013e-06
  98 1.1201697e+03 3.7644750e-01 7.8521730e-04 -5.9430424e+00 9.1136726e-08 5.4747445e-04 -7.3748022e-06
  99 1.1282943e+03 3.7636942e-01 7.9977384e-04 -6.1986751e+00 9.0484678e-08 5.4097885e-04 -6.9433433e-06
 100 1.1365175e+03 3.7663932e-01 8.1464689e-04 -6.4521421e+00 8.9837362e-08 5.3457916e-04 -6.5154282e-06
 101 1.1448343e+03 3.7723555e-01 8.2984392e-04 -6.7031763e+00 8.9194793e-08 5.2827778e-04 -6.0956563e-06
 102 1.1532470e+03 3.7812898e-01 8.4537118e-04 -6.9517335e+00 8.8556977e-08 5.2207695e-04 -5.6886225e-06
 103 1.1617432e+03 3.7931279e-01 8.6123363e-04 -7.1972493e+00 8.7923993e-08 5.1597944e-04 -5.2989256e-06
 104 1.1703252e+03 3.8075043e-01 8.7743499e-04 -7.4396052e+00 8.7295825e-08 5.0998734e-04 -4.9311547e-06
 105 1.1789880e+03 3.8242765e-01 8.9397765e-04 -7.6784599e+00 8.6672513e-08 5.0410333e-04 -4.5899028e-06
 106 1.1877264e+03 3.8432276e-01 9.1086272e-04 -7.9133978e+00 8.6054083e-08 4.9832968e-04 -4.2797570e-06
 107 1.1965355e+03 3.8642150e-01 9.2809004e-04 -8.1442260e+00 8.5440563e-08 4.9266883e-04 -4.0053041e-06
 108 1.2054026e+03 3.8869476e-01 9.4565818e-04 -8.3706034e+00 8.4831992e-08 4.8712337e-04 -3.7711302e-06
 109 1.2143378e+03 3.9112827e-01 9.6356449e-04 -8.5921143e+00 8.4228418e-08 4.8169571e-04 -3.5818181e-06
 110 1.2233283e+03 3.9369294e-01 9.8180516e-04 -8.8085661e+00 8.3629831e-08 4.7638822e-04 -3.4419488e-06
 111 1.2323698e+03 3.9637391e-01 1.0003752e-03 -9.0197727e+00 8.3036289e-08 4.7120204e-04 -3.3545562e-06
 112 1.2414671e+03 3.9915406e-01 1.0192687e-03 -9.2256489e+00 8.2447752e-08 4.6613327e-04 -3.3164909e-06
 113 1.2506185e+03 4.0200079e-01 1.0384784e-03 -9.4265618e+00 8.1864201e-08 4.6117659e-04 -3.3230597e-06
